"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","9","totale","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2019-Q3","T3-2019",5081.055,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2020","2020",5252.953,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2020-Q2","T2-2020",5213.029,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2020-Q1","T1-2020",5342.871,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2020-Q3","T3-2020",5073.008,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2020-Q4","T4-2020",5382.906,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019","2019",20854.68,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q1","T1-2019",20580.168,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q2","T2-2019",21039.135,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q4","T4-2019",20878.868,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q3","T3-2019",20920.551,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020","2020",20557.674,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q2","T2-2020",20455.553,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q1","T1-2020",20673.777,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q3","T3-2020",20456.481,,
